"model_name","reps","nlevels","propagule_mean.mass","propagule_num","mean/meanlog/shape_mean","sd/sdlog/rate/scale_mean","mean/meanlog/shape_se","sd/sdlog/rate/scale_se","out_chiq","out_chiqpvalue","out_cvm","out_cvmtest","out_ks","out_kestest","out_aic","out_bic"
"weibull","5","20","60.4285714285714","42","1.40630614757752","66.3682718717095","0.171728321774452","7.67208486549339","9.34954278049651","0.0959083772355608","0.105907122321295","not rejected","0.125330903870425","not rejected","425.853238389197","429.328577625764"
"norm","5","20","60.4285714285714","42","60.4285714285714","43.0731066560888","6.64632336252919","4.69966105714999","18.2301505246543","0.00267137158109581","0.358319104840428","not computed","0.211320864166059","rejected","439.274338245365","442.749677481932"
"gamma","5","40","66","35","1.67041487360229","0.0253046186177425","0.36530758074048","0.00643296720805178","2.43672569965387","0.656000727510089","0.0749605189815393","not rejected","0.102002666656174","not rejected","362.503425647316","365.614121770295"
"lnorm","5","40","66","35","3.8613821481895","0.842093333953356","0.142339752818227","0.100648765740363","4.21707995820101","0.377423710073681","0.069391337154909","not computed","0.0948118908391419","not rejected","361.591938090575","364.702634213554"
"weibull","5","40","66","35","1.32612596454143","72.1022320059408","0.173633199318521","9.72774897063208","1.95382642522864","0.744251273540072","0.0711919103946541","not rejected","0.110114805622818","not rejected","363.207667713085","366.318363836064"
"norm","5","40","66","35","66","51.6593235949302","8.73202182503581","6.17447017336185","8.02263041044293","0.0907527222933965","0.225207256242791","not computed","0.186343798738774","not rejected","379.45264591703","382.563342040009"
"gamma","5","60","97.4666666666667","45","0.925666713932857","0.00949829098793543","0.168853408142258","0.00223789295239044","12.1342187807913","0.0163805954368166","0.17833861348199",NA,"0.160910539522854","not rejected","505.978614231326","509.591939210866"
"lnorm","5","60","97.4666666666667","45","3.9504435268461","1.15465506845861","0.172125814899339","0.12171092012413","10.5031823376343","0.0327531823555502","0.125502155161061","not computed","0.109834951703686","not rejected","500.186534565545","503.799859545086"
"weibull","5","60","97.4666666666667","45","0.892759814072554","91.1392381671956","0.0937238237001818","16.1304045313763","13.1677923737048","0.0104843762050142","0.166080165993567","rejected","0.14405939238495","not rejected","504.891831737239","508.50515671678"
"norm","5","60","97.4666666666667","45","97.4666666666667","147.064097892344","21.9229300151282","15.5018789464544","64.4386245949385","3.37847800587855e-13","1.2175741329514","not computed","0.298553224390708","rejected","580.882635852658","584.495960832198"
"gamma","6","10","49.2857142857143","28","2.37673671383676","0.048204117402623","0.59531312355701","0.0134334232622528","0.396330652953807","0.982776220554795","0.0392067676958303","not rejected","0.0935588156223005","not computed","268.787874711188","271.452283731538"
"lnorm","6","10","49.2857142857143","28","3.67262275979564","0.763670841525632","0.14432022359182","0.102049021333379","1.50209645982873","0.826270040968006","0.111947690496699","not computed","0.127624885175835","not computed","274.028800980338","276.693210000689"
"weibull","6","10","49.2857142857143","28","1.7910052331098","55.2449235622943","0.274600132193588","6.11703755615637","0.674882974040237","0.954389856678316","0.0160604482263569","not rejected","0.0691059685386721","not computed","267.063079072315","269.727488092666"
"norm","6","10","49.2857142857143","28","49.2857142857143","27.8899074716197","5.27069766042093","3.72694568943575","2.80712391225494","0.590603625719573","0.0338737482988618","not computed","0.0826368362164193","not computed","269.843391364323","272.507800384674"
"gamma","6","20","69.9310344827586","29","1.64398467749929","0.0235099471828893","0.3943662948962","0.00657002939997058","9.56467304854129","0.0484351891771463","0.0856231768014445","not rejected","0.104270705137556","not computed","304.620014938178","307.354606598151"
"lnorm","6","20","69.9310344827586","29","3.9134968028995","0.905703052878049","0.168184834677315","0.118923984703101","11.3931464339415","0.0224834165989087","0.133356493630065","not computed","0.144961392126347","not computed","307.536710087686","310.271301747659"
"weibull","6","20","69.9310344827586","29","1.40208803948681","76.6765817104291","0.213060712759133","10.6904221402699","9.60977504878238","0.0475398351305124","0.0805543073212523","not rejected","0.109519968804293","not computed","304.039739542562","306.774331202534"
"norm","6","20","69.9310344827586","29","69.9310344827586","48.5641637668983","9.01813718616938","6.37678687923616","14.5997443676412","0.00560760218580702","0.122337004376257","not computed","0.139355297748498","not computed","311.505816421938","314.240408081911"
"gamma","6","40","57.6666666666667","39","1.31651798313269","0.0228329268087966","0.267943095777661","0.00561887954263291","14.7432381329781","0.00526448600081726","0.302071236445546","rejected","0.186979082979641","not rejected","396.577475292955","399.904598585214"
"lnorm","6","40","57.6666666666667","39","3.62913424321705","1.16687273208409","0.186849176309712","0.13212188297065","24.1215847027433","7.55151273691395e-05","0.464253115955689","not computed","0.2345453215954","rejected","409.78720531592","413.11432860818"
"weibull","6","40","57.6666666666667","39","1.3264952344267","61.9687923189109","0.183320810897831","7.79588241350948","14.5642928679006","0.00569569719090733","0.249427346723998","rejected","0.160255406205941","not rejected","394.505561849256","397.832685141515"
"norm","6","40","57.6666666666667","39","57.6666666666667","37.5126189594459","6.00682654098484","4.24746778054172","9.08781344998801","0.0589416511640806","0.0684118559790373","not computed","0.124387654419061","not rejected","397.402041382555","400.729164674814"
"gamma","6","60","50.675","40","2.58220163614029","0.050953689900175","0.543598577679037","0.0118334287250583","7.48490102064717","0.187001925965612","0.152578617493798","rejected","0.125066823695003","not rejected","382.234148950042","385.61190785827"
"lnorm","6","60","50.675","40","3.71954256574402","0.667663108042068","0.105566806547598","0.0746462512362717","7.18615036819695","0.207160107545232","0.130589665903731","not computed","0.141276434951769","not rejected","382.760762960646","386.138521868874"
"weibull","6","60","50.675","40","1.74226529408356","57.1631953544654","0.218718040522957","5.483616604849","8.23722054207775","0.143637446953381","0.162661421259963","rejected","0.131155624539773","not rejected","382.641694992492","386.01945390072"
"norm","6","60","50.675","40","50.675","30.6001531858911","4.83830905515972","3.42120114237972","15.2087800761573","0.00950652768867075","0.255446345566308","not computed","0.17359649033478","not rejected","391.195483858028","394.573242766256"
"gamma","7","10","52.5714285714286","28","2.97676650092807","0.0566145059984954","0.75440998069848","0.0156230931444111","20.4495370929642","0.00040702101801789","0.152162069419733","rejected","0.186692147892327","not computed","267.990789192424","270.655198212775"
"lnorm","7","10","52.5714285714286","28","3.78484467215594","0.614604461913639","0.116149325777603","0.0821289974784134","16.0131853264772","0.00300152184903999","0.157170153698741","not computed","0.162478553573712","not computed","268.152382811212","270.816791831563"
"weibull","7","10","52.5714285714286","28","1.87105134987669","59.5251714103376","0.279170825204306","6.35744630864606","24.391570417817","6.66611833871704e-05","0.142407978746277","rejected","0.195476329057242","not computed","268.466931327146","271.131340347496"
"norm","7","10","52.5714285714286","28","52.5714285714286","29.8788369579404","5.64656978301067","3.99272755787412","37.0549268961133","1.75497403087009e-07","0.174056226027376","not computed","0.218715141870435","not computed","273.70098226109","276.36539128144"
"gamma","7","20","47.7894736842105","19","1.86489974441993","0.0390202500035267","0.558585012189458","0.0133870847493778","2.66940292164424","0.445452014127004","0.0984818920875687","not rejected","0.143281112039083","not computed","185.279626500501","187.168504458834"
"lnorm","7","20","47.7894736842105","19","3.57533837773416","0.949968440806329","0.217937706980092","0.15410446205255","3.69063903482093","0.296865464247789","0.180075002547631","not computed","0.202798929818492","not computed","191.832115040234","193.720992998566"
"weibull","7","20","47.7894736842105","19","1.67993302665198","52.8720807570036","0.329522038181044","7.51870596280665","3.49784616572399","0.321041573345472","0.0637321997606519","not rejected","0.142732971629411","not computed","183.220969015206","185.109846973539"
"norm","7","20","47.7894736842105","19","47.7894736842105","26.8045144417845","6.14937790237228","4.34826637671921","2.38195342554967","0.497002827611608","0.043860144116405","not computed","0.131638340735028","not computed","182.885336522521","184.774214480854"
"gamma","7","40","43.9444444444444","36","1.53998040135793","0.0350502564028908","0.33063050547227","0.00886559812595867","1.52266941704689","0.822618421034008","0.0425121984746147","not rejected","0.0883328415972428","not rejected","344.776542250463","347.943580127375"
"lnorm","7","40","43.9444444444444","36","3.42438971674849","0.92125333334163","0.153542222230477","0.108570170872264","0.287392846048966","0.990613401974174","0.0369960998899609","not computed","0.0862656850087046","not rejected","346.81417835795","349.981216234863"
"weibull","7","40","43.9444444444444","36","1.29069383114188","47.6245324384979","0.168574666858419","6.49439321749369","1.95831432534319","0.743425972701239","0.049646761813156","not rejected","0.0940321122649507","not rejected","344.976045087668","348.14308296458"
"norm","7","40","43.9444444444444","36","43.9444444444444","34.4471773109403","5.74119571738387","4.05963866157754","11.2423032192544","0.0239716763978506","0.251172551304246","not computed","0.185769080984282","not rejected","361.002322586967","364.169360463879"
"gamma","7","60","46.0333333333333","30","1.7731817766981","0.0385237568587307","0.421258216077507","0.0105562746259998","2.18785517560353","0.701253341739406","0.0648177672993741","not rejected","0.110368114499617","not rejected","288.780087573581","291.582482336906"
"lnorm","7","60","46.0333333333333","30","3.52169878146881","0.87693345574303","0.160105411704984","0.113210959845882","3.98045603381943","0.408657299551818","0.109294936290267","not computed","0.145999616246614","not rejected","292.558788882328","295.361183645652"
"weibull","7","60","46.0333333333333","30","1.47668696181101","50.8380089691384","0.220217596001457","6.61228319729437","1.91837447193794","0.750768804919744","0.0584732689264882","not rejected","0.100125305132333","not rejected","287.957486028828","290.759880792153"
"norm","7","60","46.0333333333333","30","46.0333333333333","30.667554334979","5.59910400243693","3.95916418821109","2.96069118571246","0.564425042178543","0.0892913245341077","not computed","0.140359962661199","not rejected","294.528626012351","297.331020775676"
